id,created_at,favorite_count,retweet_count
834089966724603904,Tue Feb 21 17:18:39 +0000 2017,10329,2197
834086379323871233,Tue Feb 21 17:04:24 +0000 2017,13426,2277
833863086058651648,Tue Feb 21 02:17:06 +0000 2017,13783,2480
833826103416520705,Mon Feb 20 23:50:09 +0000 2017,18519,3881
833732339549220864,Mon Feb 20 17:37:34 +0000 2017,0,224
833722901757046785,Mon Feb 20 17:00:04 +0000 2017,21341,3326
833479644947025920,Mon Feb 20 00:53:27 +0000 2017,15263,2112
833124694597443584,Sun Feb 19 01:23:00 +0000 2017,20768,5006
832998151111966721,Sat Feb 18 17:00:10 +0000 2017,13676,2286
832769181346996225,Sat Feb 18 01:50:19 +0000 2017,0,39
832757312314028032,Sat Feb 18 01:03:09 +0000 2017,17326,3740
832682457690300417,Fri Feb 17 20:05:43 +0000 2017,12227,3033
832645525019123713,Fri Feb 17 17:38:57 +0000 2017,3017,543
832636094638288896,Fri Feb 17 17:01:29 +0000 2017,16308,2881
832397543355072512,Fri Feb 17 01:13:34 +0000 2017,12286,2289
832369877331693569,Thu Feb 16 23:23:38 +0000 2017,17680,3300
832273440279240704,Thu Feb 16 17:00:25 +0000 2017,11651,2413
832215909146226688,Thu Feb 16 13:11:49 +0000 2017,0,6430
832215726631055365,Thu Feb 16 13:11:05 +0000 2017,0,9699
832088576586297345,Thu Feb 16 04:45:50 +0000 2017,67,2
832040443403784192,Thu Feb 16 01:34:34 +0000 2017,0,9994
832032802820481025,Thu Feb 16 01:04:13 +0000 2017,18383,4828
831939777352105988,Wed Feb 15 18:54:34 +0000 2017,24725,6359
831926988323639298,Wed Feb 15 18:03:45 +0000 2017,352,34
831911600680497154,Wed Feb 15 17:02:36 +0000 2017,28492,6749
831670449226514432,Wed Feb 15 01:04:21 +0000 2017,10764,1880
831650051525054464,Tue Feb 14 23:43:18 +0000 2017,7390,2006
831552930092285952,Tue Feb 14 17:17:22 +0000 2017,9261,2380
831322785565769729,Tue Feb 14 02:02:51 +0000 2017,9516,1599
831315979191906304,Tue Feb 14 01:35:49 +0000 2017,6733,1160
831309418084069378,Tue Feb 14 01:09:44 +0000 2017,12100,2546
831262627380748289,Mon Feb 13 22:03:49 +0000 2017,12273,2120
830956169170665475,Mon Feb 13 01:46:03 +0000 2017,8212,1546
830583320585068544,Sun Feb 12 01:04:29 +0000 2017,68979,17414
830173239259324417,Fri Feb 10 21:54:58 +0000 2017,0,5910
830097400375152640,Fri Feb 10 16:53:37 +0000 2017,10143,3079
829878982036299777,Fri Feb 10 02:25:42 +0000 2017,0,5218
829861396166877184,Fri Feb 10 01:15:49 +0000 2017,12614,2029
829501995190984704,Thu Feb 09 01:27:41 +0000 2017,32774,11020
829449946868879360,Wed Feb 08 22:00:52 +0000 2017,10803,2102
829141528400556032,Wed Feb 08 01:35:19 +0000 2017,25235,7659
829011960981237760,Tue Feb 07 17:00:28 +0000 2017,54749,16927
828801551087042563,Tue Feb 07 03:04:22 +0000 2017,0,3536
828770345708580865,Tue Feb 07 01:00:22 +0000 2017,26374,6102
828708714936930305,Mon Feb 06 20:55:28 +0000 2017,37785,11666
828650029636317184,Mon Feb 06 17:02:17 +0000 2017,9827,1409
828409743546925057,Mon Feb 06 01:07:28 +0000 2017,6533,1205
828408677031882754,Mon Feb 06 01:03:14 +0000 2017,7931,1341
828381636999917570,Sun Feb 05 23:15:47 +0000 2017,13042,2300
828376505180889089,Sun Feb 05 22:55:23 +0000 2017,7628,1111
828372645993398273,Sun Feb 05 22:40:03 +0000 2017,12986,3060
828361771580813312,Sun Feb 05 21:56:51 +0000 2017,2278,177
828046555563323392,Sun Feb 05 01:04:17 +0000 2017,12160,2973
828011680017821696,Sat Feb 04 22:45:42 +0000 2017,10698,2234
827933404142436356,Sat Feb 04 17:34:40 +0000 2017,20784,5439
827653905312006145,Fri Feb 03 23:04:02 +0000 2017,15981,3122
827600520311402496,Fri Feb 03 19:31:54 +0000 2017,7660,978
827324948884643840,Fri Feb 03 01:16:53 +0000 2017,16371,3172
827199976799354881,Thu Feb 02 17:00:17 +0000 2017,10932,2330
826958653328592898,Thu Feb 02 01:01:21 +0000 2017,22301,5218
826848821049180160,Wed Feb 01 17:44:55 +0000 2017,37660,10609
826615380357632002,Wed Feb 01 02:17:19 +0000 2017,0,4143
826598799820865537,Wed Feb 01 01:11:25 +0000 2017,5284,264
826598365270007810,Wed Feb 01 01:09:42 +0000 2017,10398,2441
826476773533745153,Tue Jan 31 17:06:32 +0000 2017,19058,4390
826240494070030336,Tue Jan 31 01:27:39 +0000 2017,13742,2707
826204788643753985,Mon Jan 30 23:05:46 +0000 2017,5041,967
826115272272650244,Mon Jan 30 17:10:04 +0000 2017,16186,3265
825876512159186944,Mon Jan 30 01:21:19 +0000 2017,10813,1951
825829644528148480,Sun Jan 29 22:15:05 +0000 2017,13175,2587
825535076884762624,Sun Jan 29 02:44:34 +0000 2017,54013,18011
825147591692263424,Sat Jan 28 01:04:51 +0000 2017,18955,4740
825120256414846976,Fri Jan 27 23:16:13 +0000 2017,0,1329
825026590719483904,Fri Jan 27 17:04:02 +0000 2017,6561,1329
824796380199809024,Fri Jan 27 01:49:15 +0000 2017,0,5732
824775126675836928,Fri Jan 27 00:24:48 +0000 2017,15479,3673
824663926340194305,Thu Jan 26 17:02:56 +0000 2017,10446,1814
